,clust,recency,frequency,monetary
0,1,5.0,177.5,38069.5
1,0,6.0,37.0,6397.0
2,0,5.0,58.0,12395.0
3,1,5.0,177.5,38069.5
4,2,10.0,16.0,4893.0
5,2,12.5,11.0,2864.0
6,0,5.0,41.0,6807.0
7,0,6.0,9.0,1817.0
8,0,6.0,34.0,6453.0
9,1,5.0,111.0,19704.0
10,0,6.0,19.0,1156.0
11,0,8.0,53.0,6758.0
12,1,5.0,92.0,22407.0
13,1,5.0,177.5,38069.5
14,0,6.0,74.0,17350.0
15,0,6.0,17.0,2805.0
16,0,6.0,16.0,1724.0
17,1,5.0,177.5,38069.5
18,2,12.5,2.0,125.0
19,2,12.5,8.0,2113.0
20,1,5.0,104.0,23317.0
21,1,5.0,177.5,38069.5
22,2,12.5,2.0,198.0
23,0,7.0,9.0,860.0
24,1,5.0,177.5,38069.5
25,0,5.0,12.0,1999.0
26,0,5.0,32.0,4591.0
27,1,5.0,177.5,38069.5
28,2,9.0,15.0,4533.0
29,0,8.0,46.0,10659.0
30,0,5.0,44.0,9395.0
31,1,5.0,177.5,38069.5
32,0,5.0,55.0,12366.0
33,2,10.0,9.0,2727.0
34,0,5.0,60.0,14007.0
35,1,6.0,164.0,33623.0
36,0,7.0,36.0,7057.0
37,0,6.0,26.0,5805.0
38,0,5.0,25.0,2991.0
39,0,8.0,20.0,2546.0
40,1,5.0,74.0,26131.0
41,0,6.0,6.0,1369.0
42,0,5.0,5.0,315.0
43,0,5.0,49.0,8143.0
44,1,5.0,177.5,38069.5
45,2,12.5,2.0,616.0
46,0,5.0,49.0,6516.0
47,1,5.0,94.0,22909.0
48,0,6.0,32.0,5509.0
49,0,5.0,37.0,8098.0
50,0,6.0,16.0,3734.0
51,2,10.0,5.0,607.0
52,0,7.0,20.0,8467.0
53,2,12.5,2.0,337.0
54,0,6.0,55.0,10885.0
55,2,12.5,6.0,1530.0
56,2,10.0,7.0,1759.0
57,2,12.5,6.0,1268.0
58,1,5.0,177.5,38069.5
59,0,6.0,26.0,3702.0
60,0,7.0,9.0,1541.0
61,2,11.0,8.0,1033.0
62,0,8.0,7.0,2041.0
